run_at,target,grades,loss,sampler,class_weight,eval,arch,hidden,lr,epochs_run,best_epoch,n_train,n_val,macro_f1,accuracy,qwk,per_device_f1,seconds,tag
2026-09-09 09:00,pore,3,ce,none,False,device,dinov3_s,512,0.001,20,5,8572,410,0.5239,0.6439,0.3554,{},4.3,기기증강 p0.9
2026-09-09 09:01,pore,3,ce,none,False,device,dinov3_s,512,0.001,20,5,8572,410,0.5092,0.639,0.3272,{},4.5,기기증강 p1.0
2026-09-09 09:01,pore,3,ce,none,False,standard,dinov3_s,512,0.001,28,13,15295,1908,0.5613,0.6515,0.4422,"{""디카"": 0.5567, ""패드"": 0.5461, ""폰"": 0.49}",11.7,기기증강/전체 p0.7
2026-09-09 09:01,pore,3,ce,none,False,standard,dinov3_s,512,0.001,28,13,15295,1908,0.5641,0.6415,0.4482,"{""디카"": 0.5691, ""패드"": 0.5416, ""폰"": 0.4843}",11.1,기기증강/전체 p1.0
2026-09-09 09:24,pore,3,ce,none,False,device,dinov3_s,512,0.001,20,5,8572,410,0.5246,0.639,0.376,{},4.0,기기증강v2 p0.3
2026-09-09 09:24,pore,3,ce,none,False,device,dinov3_s,512,0.001,20,5,8572,410,0.5351,0.6415,0.3785,{},4.5,기기증강v2 p0.5
2026-09-09 09:24,pore,3,ce,none,False,device,dinov3_s,512,0.001,20,5,8572,410,0.5231,0.6439,0.3558,{},4.7,기기증강v2 p0.7
2026-09-09 09:25,pore,3,ce,none,False,device,dinov3_s,512,0.001,18,3,8572,410,0.5212,0.6,0.369,{},3.9,기기증강v2 p0.9
2026-09-09 09:25,pigmentation,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8572,410,0.5841,0.6293,0.6105,{},3.4,기기증강v2 p0.5
2026-09-09 09:25,pigmentation,3,ce,none,False,device,dinov3_s,512,0.001,16,1,8572,410,0.5885,0.6366,0.6403,{},3.5,기기증강v2 p0.7
2026-09-09 09:25,pore,3,ce,none,False,standard,dinov3_s,512,0.001,28,13,15295,1908,0.57,0.6499,0.4526,"{""디카"": 0.5632, ""패드"": 0.5411, ""폰"": 0.4909}",10.8,기기증강v2/전체 p0.5
2026-09-09 09:25,pore,3,ce,none,False,standard,dinov3_s,512,0.001,28,13,15295,1908,0.5664,0.6468,0.4536,"{""디카"": 0.5484, ""패드"": 0.5333, ""폰"": 0.4802}",10.5,기기증강v2/전체 p0.7
2026-09-09 13:04,wrinkle,7,ce,none,False,standard,dinov3_s,512,0.001,50,35,14449,1810,0.3973,0.4613,0.8425,"{""디카"": 0.4107, ""패드"": 0.3641, ""폰"": 0.3552}",17.5,5.1/7등급/ce
